时间,放牧强度,植物群落平均高度(cm),植物群落平均密度（plant/m2）,植物群落总科数,植物群落总种数,植物群落 Shannon-wiener多样性指数,Pielou均匀度指数,Simpson优势指数,Margalef丰富指数,植物群落总生物量（g/m2）,地下总生物量（g/m2）,羊草总生物量（g/m2）,风速m/s,降水,气温,水资源可利用量,0-10cm土壤含水率%,植物群落盖度,人口密度,畜牧密度,人均纯收入
2018,NG,25.77,399.33,12,33,2.3,0.83,0.85,2.48,211.85,1512.96,133.85,3.364,56.8975,19.835,19.7,7.684,0.61,5.21,7.2,3457
2018,LGI,17.75,366.33,12,34,2.24,0.84,0.88,2.3,277.15,1636.19,103.03,3.364,56.8975,19.835,19.7,6.607,0.68,5.21,14.42,3457
2018,MGI,16.62,479.67,11,36,2.48,0.89,0.89,2.64,180.59,1396.42,42.39,3.364,56.8975,19.835,19.7,8.415,0.52,5.21,28.84,3457
2018,HGI,13.72,312.33,10,31,2.1,0.81,0.81,2.02,154.56,1598.46,31.73,3.364,56.8975,19.835,19.7,6.679,0.49,5.21,57.68,3457
2019,NG,25.77,398,12,37,2.29,0.85,0.78,2.34,240.56,1784.54,145.11,3.093,63.5,19.7,19.7,4.668,0.6,5.29,7.2,3700
2019,LGI,17.75,351,13,36,2.33,0.87,0.87,2.38,243.81,1957.17,152.33,3.093,63.5,19.7,19.7,4.751,0.71,5.29,14.42,3700
2019,MGI,16.62,508.17,15,41,2.66,0.9,0.91,3.21,264.87,1756.33,2.12,3.093,63.5,19.7,19.7,5.103,0.53,5.29,28.84,3700
2019,HGI,13.72,339.5,10,28,2.21,0.86,0.84,1.97,222.46,1759.85,4.69,3.093,63.5,19.7,19.7,4.887,0.48,5.29,57.68,3700
2020,NG,25.59,415.33,10,33,1.88,0.8,0.77,1.76,260.67,1996.33,13.52,3.204,79.1825,19.5,19.7,5.995,0.75,5.55,7.2,8735
2020,LGI,32.77,285.83,12,33,2.2,0.83,0.82,2.09,299.88,2481.91,11.32,3.204,79.1825,19.5,19.7,5.29,0.79,5.55,14.42,8735
2020,MGI,21.37,463.83,14,37,2.32,0.85,0.86,2.46,158.13,1867.21,23.74,3.204,79.1825,19.5,19.7,6.567,0.61,5.55,28.84,8735
2020,HGI,18.89,363,10,34,2.22,0.81,0.83,2.43,167.28,2263.39,16.72,3.204,79.1825,19.5,19.7,5.846,0.54,5.55,57.68,8735
